"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"125","Saint Martin (French part)","MAF","Americas","Latin America & Caribbean",NA,NA,34.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Morocco","MAR","Africa","Middle East & North Africa",72.98804,15.42217,35528.115,13.91907,1.73295,5.74,7.319,10,55,77.3499984741211,"Rabat",10.3798542022705,10.494,3300.7998046875
"127","Monaco","MCO","Europe","Europe & Central Asia",NA,0.96401,37.044,9.21092,NA,3.68,77.562,NA,87,NA,NA,NA,NA,228667.935282559
"128","Moldova","MDA","Europe","Europe & Central Asia",73.26277,12.21908,2755.189,12.73691,2.53301,7.75,40.573,56.605,43.37,99.5999984741211,"Chisinau",11.8109121322632,2.278,3582.19085447967
"129","Madagascar","MDG","Africa","Sub-Saharan Africa",65.34995,45.25882,26169.542,20.88511,3.19927,3.5,1.948,2,2.0549,77.4800033569336,"Antananarivo",8.39830303192139,2.142,453.858147011855
"130","Maldives","MDV","Asia","South Asia",79.59427,5.09688,472.442,13.79329,1.88391,10.03,21.606,43,38.9301,97.8600006103516,"Male",NA,4.883,11035.5824827484
"131","Mexico","MEX","Americas","Latin America & Caribbean",76.01043,11.39776,122839.258,15.313,5.76687,6.08,24.405,9.8,38.42,95.2478485107422,"Mexico City",12.8240079879761,3.308,10077.3833104761
"132","Marshall Islands","MHL","Oceania","East Asia & Pacific",NA,24.80558,47.187,7.54579,NA,12.55,4.598,NA,10,98.2650833129883,"Majuro",9.43173313140869,NA,5306.9015554789
"133","North Macedonia","MKD","Europe","Europe & Central Asia",74.8186,4.64919,2074.502,23.78762,2.18649,8.52,28.344,42.801,63.1477,97.5999984741211,"Skopje",11.0252952575684,15.081,5500.39905883565
"134","Mali","MLI","Africa","Sub-Saharan Africa",62.79813,61.6314,19311.355,34.75342,10.65639,4.47,1.231,1,2.1689,30.7614097595215,"Bamako",5.24293899536133,2.762,748.974818109328
"135","Malta","MLT","Europe","Middle East & North Africa",81.89443,5.08453,467.999,12.2127,0.71446,10.58,54.851,44.851,70,94.9400024414062,"Valletta",13.427845954895,2.813,30379.5968015298
"136","Myanmar (Burma)","MMR","Asia","East Asia & Pacific",69.1335,33.72355,52288.341,26.8922,3.93056,5.63,7.509,10.44,1.0691,89.0699462890625,"Naypyidaw",9.9909725189209,1.48,1169.1068332012
"137","Montenegro","MNE","Europe","Europe & Central Asia",75.87666,1.90536,622.373,19.68595,4.27377,10.55,27.68,38.61,NA,98.9800033569336,"Podgorica",12.765830039978,15.402,7889.23763310614
"138","Mongolia","MNG","Asia","East Asia & Pacific",68.09768,12.68064,3096.03,37.90245,10.64118,6.91,38.594,80,16.4,99.1832733154297,"Ulaanbaatar",13.1627712249756,8.247,4249.67501406205
"139","Northern Mariana Islands","MNP","Oceania","East Asia & Pacific",NA,NA,50.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14703.5116119755
